user_id,most_search_month_6,most_search_month_7,category_t6,category_t7,Trending_Type,Previous
06077936,phim truyện Hàn Quốc yêu trong đau thương,bao to cuộc đời tập 2,K-drama,Viet-drama,Changed,K-drama -> Viet-drama
06079173,the red sleeve cuff,why her?,K-drama,K-drama,Unchanged,Unchanged
06079863,boruto: naruto the movie,phim lego 2,Anime,animation,Changed,Anime -> animation
06080096,kết hôn rồi bắt đầu yêu,vô tình nhặt được tổng tài,C-drama,C-drama,Unchanged,Unchanged
06080145,lời nguyền ma lai,thước vải ma mị,Thai-drama,Thai-drama,Unchanged,Unchanged
06080145,lời nguyền ma lai,thước vải ma mị,Thai-drama,Thai-drama,Unchanged,Unchanged
06083877,goblin,kẻ cắp mặt trăng,Anime,animation,Changed,Anime -> animation
06083914,fairy tail,sakura - thủ lĩnh thẻ bài,Anime,Anime,Unchanged,Unchanged
06084003,yowamushi  ped,xem phim anime trùm trường handa kun,Anime,Anime,Unchanged,Unchanged
06084528,phim sao băng thuyết minh,hẹn họ chốn công sở,K-drama,K-drama,Unchanged,Unchanged
06084794,attack on titan (final season),BOKU,Anime,Anime,Unchanged,Unchanged
06085200,đêm tối tokyo (phần 4),ma tốc độ,Anime,Westen,Changed,Anime -> Westen
06085908,tiểu thời đại,yêu nhầm chị dâu,C-drama,Thai-drama,Changed,C-drama -> Thai-drama
06088590,bật video của hkt trên tv của tôi,thế giới động vật,other,animation,Changed,other -> animation
06089319,miễn bầu trời còn có mặt trời,lối rẽ con tim,Thai-drama,Thai-drama,Unchanged,Unchanged
06089420,Croatia và Pháp,Thái Lan với,other,Thai-drama,Changed,other -> Thai-drama
06090033,30 chưa,bắt ma phá án,C-drama,K-drama,Changed,C-drama -> K-drama
06090303,the beautiful person,người con gái pa kô,Westen,song,Changed,Westen -> song
06090667,QUOC TU GIAM,trở lại tuổi 18,C-drama,K-drama,Changed,C-drama -> K-drama
06090764,yêu từng centimet,thiên nga bóng đêm,C-drama,K-drama,Changed,C-drama -> K-drama
06092150,duoi bong moc mien,vo quan,Thai-drama,Viet-drama,Changed,Thai-drama -> Viet-drama
06092286,quang lập,trường vũ,song,song,Unchanged,Unchanged
06092506,hạ  tiên sinh lưu luyến,gia đình điệp viên,C-drama,Anime,Changed,C-drama -> Anime
06092513,ONE P,NARUTO,Anime,Anime,Unchanged,Unchanged
06092780,tái sinh báo thù,người thầy y đức,K-drama,Westen,Changed,K-drama -> Westen
06092780,tái sinh báo thù,người thầy y đức,K-drama,K-drama,Unchanged,Unchanged
06092780,tái sinh báo thù,người thầy y đức,Anime,Westen,Changed,Anime -> Westen
06092780,tái sinh báo thù,người thầy y đức,Anime,K-drama,Changed,Anime -> K-drama
06093355,Người Nhện: Không Còn Nhà,Thế Giới Khủng Long,Westen,Westen,Unchanged,Unchanged
06094408,tu hiac yeu ang,con tim sắt đá,Viet-drama,Thai-drama,Changed,Viet-drama -> Thai-drama
06094766,THUY THU MAT TRANG,THIEN DUONG THAN TUONG,Anime,Anime,Unchanged,Unchanged
06094771,mai,minion,Viet-drama,animation,Changed,Viet-drama -> animation
06095959,đại chiến titan,Hội Pháp Sư,Anime,Anime,Unchanged,Unchanged
06096344,jujutsu kaisen,chú thuật hồi chiến,Anime,Anime,Unchanged,Unchanged
06097051,những chàng trai tham vọng,lycoris recoil: quán cà phê bất ổn,Game shơw,Anime,Changed,Game shơw -> Anime
06097817,true u,penthouse 2,Westen,K-drama,Changed,Westen -> K-drama
06097872,sự trỗi dậy của khiên hiệp sĩ,one piece,Anime,Anime,Unchanged,Unchanged
06098186,GUNDAM,u19 lao,Anime,other,Changed,Anime -> other
0610565,"gửi anh, người từng yêu em",masha,K-drama,animation,Changed,K-drama -> animation
0612425,nếu em được lựa chọn,bước chân lẻ loi,song,song,Unchanged,Unchanged
0615644,sao băng,the walking dead,K-drama,Westen,Changed,K-drama -> Westen
0631629,cá mực hầm mật,nhất kiến khuynh tâm,C-drama,C-drama,Unchanged,Unchanged
0631629,cá mực hầm mật,nhất kiến khuynh tâm,C-drama,Thai-drama,Changed,C-drama -> Thai-drama
0637339,long châu truyền kỳ,hậu cung như ý truyện,C-drama,C-drama,Unchanged,Unchanged
06401908,mối tình đầu của tôi,bí mật nơi góc tối,Viet-drama,C-drama,Changed,Viet-drama -> C-drama
06402322,chàng hậu,Kẻ Trộm Mặt Trăng: Minions,K-drama,animation,Changed,K-drama -> animation
06405607,huyền môn đại sư,tái sinh báo thù,C-drama,K-drama,Changed,C-drama -> K-drama
06405607,huyền môn đại sư,tái sinh báo thù,C-drama,Anime,Changed,C-drama -> Anime
06405715,diễn viên phim penthouse,lưỡi gươm diệt quỷ,K-drama,Anime,Changed,K-drama -> Anime
06405949,điệp viên 007,doter strange,Westen,Westen,Unchanged,Unchanged
06406359,thanh gươm diệt quỷ phần mới,thanh gươm diệt quỷ ss4,Anime,Anime,Unchanged,Unchanged
06406610,one piece,xin hãy ban cho tôi một đôi cánh,Anime,C-drama,Changed,Anime -> C-drama
06408953,cuộc chiến thượng lưu,thiên nga bóng đêm,K-drama,K-drama,Unchanged,Unchanged
06417033,tây du ký,DOREMON TA,C-drama,Anime,Changed,C-drama -> Anime
06417209,siêu nhân,siêu nhân thú vương,Westen,animation,Changed,Westen -> animation
06417209,siêu nhân,siêu nhân thú vương,Anime,animation,Changed,Anime -> animation
06417209,siêu nhân,siêu nhân thú vương,animation,animation,Unchanged,Unchanged
06418889,Hàn Quốc vs Uruguay,u19 Thái Lan,other,other,Unchanged,Unchanged
06419283,cỏ bốn lá đen,harry potter: cuộc thi cúp nhà hogwarts,Anime,Westen,Changed,Anime -> Westen
06419411,mộng hoa lục,càng khôn đấu chuyển phượng ly sào,C-drama,C-drama,Unchanged,Unchanged
06422256,phim hoạt hình,indonesia,animation,other,Changed,animation -> other
06423340,judo,tennis,Westen,other,Changed,Westen -> other
06424077,thử thách thần chết: giữa hai thế giới,thử thách thần chết: giữa hai thế giới,K-drama,K-drama,Unchanged,Unchanged
0642587,Liên Minh Công Lý: Phiên bản của Zack Snyder,Liên Minh Công Lý: Phiên bản của Zack Snyder,Westen,Westen,Unchanged,Unchanged
06430493,minh châu rực rỡ,phim yêu nhầm chị dâu,Thai-drama,Thai-drama,Unchanged,Unchanged
06431013,cô nàng xinh đẹp,yêu lại từ đầu,K-drama,Westen,Changed,K-drama -> Westen
06431213,tôi là linh đăc chủng,phim Việt Nam,C-drama,Viet-drama,Changed,C-drama -> Viet-drama
06432477,dr. stone,ONE PI,Anime,Anime,Unchanged,Unchanged
06433594,doctor strange 11,u19 thái lan vs u19 brunei,Westen,other,Changed,Westen -> other
06433966,sk8,overlord iii,Anime,Anime,Unchanged,Unchanged
06434107,blue lock,fairy tail,Anime,Anime,Unchanged,Unchanged
06435033,cơn gió tình yêu,định mệnh anh yêu em,K-drama,C-drama,Changed,K-drama -> C-drama
06435340,hoa của quỷ,hương mật tựa khói sương,K-drama,C-drama,Changed,K-drama -> C-drama
06435373,ngày mai cũng muốn gặp em,love all play,K-drama,Anime,Changed,K-drama -> Anime
06436128,hoa thiên cốt,võ tắc thiên,C-drama,C-drama,Unchanged,Unchanged
06436179,truy cầu,nữ luật sư kì lạ,C-drama,K-drama,Changed,C-drama -> K-drama
06436415,vẻ đẹp đích thực,thương ngày nắng về,K-drama,Viet-drama,Changed,K-drama -> Viet-drama
